PRICE,DISCOUNT_AMT,STD_DISCOUNT_AMT,AMT,QTY,age,std_age,educ,size_hh,income cat,income_est,std_income_est,Min_TIER,TENURE,std_TENURE,sales_pcnt,spring_pcnt,fall_pcnt,holiday_pcnt,sales_prop,spring_prop,fall_prop,holiday_prop,std_sales_prop,std_spring_prop,std_fall_prop,std_holiday_prop,bts_pcnt,bts_prop,clearance_pcnt,std_bts_prop,std_clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,std_WEB,std_PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,pcnt_m_prod,pcnt_w_prod,prop_m_prod,prop_f_prod,std_prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,std_product_cat_count,std_em_rcvd,std_dm_rcvd,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,std_timeuntil_2,std_timeuntil_3,std_timeuntil_4,std_timeuntil_5,std_up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,std_EDUC_YEARS,std_LENGTH_OF_RESIDENCE
8,-19,0.343918266,8,1,24,-0.784188319,1,2,45k-65k,55,-0.443413637,2,1142,0.960739793,0,0,0,0,0,0,0,0,-0.677308354,-0.834975019,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,0,1,2,3.510715962,-0.932638373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.402691609,2,7,170,2,0.578220853,0.783405846,-0.622733733,1,1,1,8,6,129,925,5,-0.744470635,-0.731664166,0.071611189,5.422809664,1.345549722,0,0,0,0,0,0,0,1,0,14,1,17,-0.703927834,0.318991249
8.41,-1.49,0.471235655,8.41,1,37,0.578438824,1,,45k-65k,55,-0.443413637,2,1099,0.839046933,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,2,-0.429593756,-0.932638373,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.864570794,2,3,4,0,-0.90967828,-1.308582338,-1.078954164,0,0,0,,,,,1,,,,,-1.191974174,1,0,0,0,0,0,0,0,0,16,1,10,0.172498868,-0.403417992
8.45,0,0.48206963,8.45,1,17,-1.517910626,1,2,45k-65k,55,-0.443413637,2,1314,1.447511232,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0.04,-0.305775062,-0.3795641,1,0,4,-0.429593756,-0.061770298,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,8,7,8,0.950195636,-1.270775322,0.74592756,0,1,0,45,626,2,,4,-0.56017643,2.877617252,-0.754767554,,0.711168748,1,0,0,0,0,0,0,0,0,14,1,19,-0.703927834,0.525393889
8.99,0,0.48206963,8.99,1,37,0.578438824,,1,45k-65k,55,-0.443413637,2,1089,0.810746268,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0.2,-0.305775062,0.377271151,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.864570794,2,8,26,0,0.950195636,-1.031330892,-1.078954164,1,0,0,223,393,,,3,0.326428127,1.521226009,,,0.076787774,0,0,1,0,0,0,0,0,0,16,1,15,0.172498868,0.112588609
8.99,0,0.48206963,8.99,1,37,0.578438824,1,2,45k-65k,55,-0.443413637,2,848,0.12870024,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0.1,-0.305775062,-0.095750881,1,0,2,-0.429593756,-0.932638373,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,3,15,3,-0.90967828,-1.169956615,-0.394623518,0,0,0,5,392,,,3,-0.759413409,1.515404588,,,0.076787774,1,0,0,0,0,0,0,0,0,18,1,34,1.04892557,2.073413692
9.59,0,0.48206963,9.59,1,37,0.578438824,,1,45k-65k,55,-0.443413637,2,766,-0.103365214,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,2,79,0,-1.281653063,-0.363406954,-1.078954164,0,0,0,,,,,1,,,,,-1.191974174,0,1,0,0,0,0,0,0,0,16,1,38,0.172498868,2.486218972
9.9,-20,0.336647142,9.9,1,37,0.578438824,1,2,45k-65k,55,-0.443413637,2,827,0.069268843,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0.68,-0.305775062,2.647776904,1,0,2,-0.429593756,-0.932638373,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,2,4,0,-1.281653063,-1.308582338,-1.078954164,0,0,0,,,,,1,,,,,-1.191974174,1,0,0,0,0,0,0,0,0,16,1,9,0.172498868,-0.506619312
9.9,0,0.48206963,9.9,1,17,-1.517910626,1,1,45k-65k,55,-0.443413637,2,1136,0.943759394,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.864570794,2,4,173,3,-0.537703497,0.821212861,-0.394623518,0,1,0,601,,,,2,2.209217579,,,,-0.5575932,0,1,0,0,0,0,0,0,0,16,1,16,0.172498868,0.215789929
9.9,0,0.48206963,9.9,1,37,0.578438824,,1,45k-65k,55,-0.443413637,2,1092,0.819236468,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.864570794,2,3,169,7,-0.90967828,0.770803507,0.517817344,0,0,0,,,,,1,,,,,-1.191974174,0,0,0,0,0,0,0,0,1,14,0,19,-0.703927834,0.525393889
9.9,0,0.48206963,9.9,1,17,-1.517910626,1,1,45k-65k,55,-0.443413637,2,908,0.29850423,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.864570794,2,3,6,2,-0.90967828,-1.283377661,-0.622733733,0,1,0,,,,,1,,,,,-1.191974174,1,0,0,0,0,0,0,0,0,16,1,3,0.172498868,-1.125827233
