PRICE,DISCOUNT_AMT,STD_DISCOUNT_AMT,AMT,QTY,age,std_age,educ,size_hh,income_cat,income_est,std_income_est,Min_TIER,TENURE,std_TENURE,sales_pcnt,spring_pcnt,fall_pcnt,holiday_pcnt,sales_prop,spring_prop,fall_prop,holiday_prop,std_sales_prop,std_spring_prop,std_fall_prop,std_holiday_prop,bts_pcnt,bts_prop,clearance_pcnt,std_bts_prop,std_clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,std_WEB,std_PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,pcnt_m_prod,pcnt_w_prod,prop_m_prod,prop_f_prod,std_prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,std_product_cat_count,std_em_rcvd,std_dm_rcvd,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,std_timeuntil_2,std_timeuntil_3,std_timeuntil_4,std_timeuntil_5,std_up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,std_EDUC_YEARS,std_LENGTH_OF_RESIDENCE,CLUSTER,DISTANCE
21.24285714,0,0.48206963,148.7,7,37,0.578438824,,3,gt125k,135,1.97525394,2,1261,1.297517707,0,0.205,0.403,0.393,0,0.2,0.4,0.39,-0.677308354,-0.279945337,0.395585154,0.511232468,0.403,0.4,0.25,1.772054456,0.613782167,1,0,5,-0.429593756,0.37366374,0,0,0,0,0,0,0,0.168,0.168,0.081,0,1,0,1,0.864570794,2,5,170,2,-0.165728714,0.783405846,-0.622733733,1,0,0,21,109,438,63,5,-0.679718617,-0.132057737,2.082249235,-0.30161279,1.345549722,0,1,0,0,0,0,0,0,0,16,1,37,0.172498868,2.383017652,4,3.2693947452
21.32428571,0,0.48206963,149.27,7,17,-1.517910626,2,2,gt125k,135,1.97525394,2,1185,1.082432653,0,0,1,0,0,0,1,0,-0.677308354,-0.834975019,2.104691659,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,3,-0.429593756,-0.497204335,0,0,0,0,0,0.562,0,0,0,0,0,1,0,1,0.864570794,2,9,5,0,1.322170419,-1.295979999,-1.078954164,0,1,0,24,,,,2,-0.664775844,,,,-0.5575932,1,0,0,0,0,0,0,0,0,12,1,22,-1.580354536,0.83499785,2,4.0576867571
21.34857143,-35,0.227580275,149.44,7,17,-1.517910626,2,2,45k-65k,55,-0.443413637,2,663,-0.394862064,0,0.766,0,0.234,0,0.77,0,0.23,-0.677308354,1.301889257,-0.743819183,0.028150861,0,0,0,-0.305775062,-0.568772913,0.833,0.167,6,0.228437967,0.809097778,0.234,0,0.434,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,6,334,9,0.20624607,2.850189352,0.974037775,0,1,0,144,2,14,276,5,-0.067064906,-0.754949852,-0.676684523,1.11289067,1.345549722,0,0,0,1,0,0,0,0,0,16,0,14,0.172498868,0.009387289,3,3.933310705
21.36714286,-30,0.263935898,149.57,7,37,0.578438824,2,2,45k-65k,55,-0.443413637,2,758,-0.126005746,0,0,1,0,0,0,1,0,-0.677308354,-0.834975019,2.104691659,-0.666278948,0,0,0.05,-0.305775062,-0.332261897,1,0,2,-0.429593756,-0.932638373,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,2,171,6,-1.281653063,0.796008184,0.289707129,1,0,0,,,,,1,,,,,-1.191974174,1,0,0,0,0,0,0,0,0,16,1,22,0.172498868,0.83499785,2,3.6098626931
21.41714286,-51.98,0.104116583,149.92,7,38,0.683256296,1,3,45k-65k,55,-0.443413637,2,644,-0.448633327,0.159,0.841,0,0,0.16,0.84,0,0,-0.178638003,1.496149645,-0.743819183,-0.666278948,0,0,0.32,-0.305775062,0.944897589,0,1,4,3.510715962,-0.061770298,0,0,0,0,0,0,0,0,0,0,0.586,0.414,0.59,0.41,-0.473114024,2,4,169,6,-0.537703497,0.770803507,0.289707129,1,1,0,9,7,44,,4,-0.739489711,-0.725842744,-0.481476946,,0.711168748,0,0,1,0,0,0,0,0,0,14,1,27,-0.703927834,1.351004451,5,3.5761404156
21.41857143,0,0.48206963,149.93,7,37,0.578438824,2,2,gt125k,135,1.97525394,2,1088,0.807916202,0,0,1,0,0,0,1,0,-0.677308354,-0.834975019,2.104691659,-0.666278948,0,0,0.48,-0.305775062,1.70173284,1,0,3,-0.429593756,-0.497204335,0,0.32,0.44,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,7,19,0,0.578220853,-1.119547261,-1.078954164,0,0,0,289,770,,,3,0.655169143,3.715901968,,,0.076787774,0,0,0,0,0,1,0,0,0,18,0,0,1.04892557,-1.435431194,2,4.4675861072
21.45571429,0,0.48206963,150.19,7,37,0.578438824,3,3,gt125k,135,1.97525394,2,1260,1.294687641,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0.42,-0.305775062,1.417919621,1,0,5,-0.429593756,0.37366374,0,0,0,0,0.266,0.16,0,0,0.299,0.133,0,1,0,1,0.864570794,2,8,174,10,0.950195636,0.833815199,1.202147991,0,0,0,1,39,98,214,5,-0.779337107,-0.539557252,-0.130103307,0.701157269,1.345549722,0,0,0,0,0,0,0,1,0,16,1,4,0.172498868,-1.022625913,1,4.2875337327
21.51714286,-64.95,0.009810099,150.62,7,37,0.578438824,2,3,45k-65k,55,-0.443413637,2,1070,0.756975004,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0.23,-0.305775062,0.51917776,1,0,5,-0.429593756,0.37366374,0,0,0,0,0,0,0.08,0,0,0.596,0,1,0,1,0.864570794,2,6,19,0,0.20624607,-1.119547261,-1.078954164,0,0,0,,,,,1,,,,,-1.191974174,0,1,0,0,0,0,0,0,0,16,1,4,0.172498868,-1.022625913,2,2.7645347884
21.64,-12,0.394816137,151.48,7,37,0.578438824,2,3,45k-65k,55,-0.443413637,2,132,-1.897627379,0.723,0.277,0,0,0.72,0.28,0,0,1.566708224,-0.057933464,-0.743819183,-0.666278948,0,0,0.1,-0.305775062,-0.095750881,1,0,6,-0.429593756,0.809097778,0,0,0,0,0,0.198,0.35,0,0.254,0.119,0,1,0,1,0.864570794,2,7,42,1,0.578220853,-0.829693477,-0.850843949,1,0,0,57,,,,2,-0.500405336,,,,-0.5575932,0,0,0,1,0,0,0,0,0,12,1,9,-1.580354536,-0.506619312,2,2.8174349303
21.67714286,0,0.48206963,151.74,7,17,-1.517910626,2,2,gt125k,135,1.97525394,2,420,-1.082568225,0.526,0,0,0.474,0.53,0,0,0.47,0.974537183,-0.834975019,-0.743819183,0.752773271,0.526,0.53,0.51,2.447349049,1.84363945,1,0,4,-0.429593756,-0.061770298,0,0,0,0,0,0,0.289,0.197,0,0,0,1,0,1,0.864570794,2,4,177,5,-0.537703497,0.871622215,0.061596913,1,1,0,120,,,,2,-0.186607094,,,,-0.5575932,1,0,0,0,0,0,0,0,0,14,1,22,-0.703927834,0.83499785,4,3.6473500111
